policy_id,age,gender,marital_status,vehicle_age,vehicle_value,vehicle_type,policy_tenure,deductible,coverage_type,region,state,claim_type,at_fault,weather_condition,time_of_day,claim_amount
1,52,M,Single,1,33986.0,Sedan,4.0,500,Premium,Urban,IL,Collision,Yes,Clear,Evening,12542
2,42,M,Married,5,14170.0,SUV,3.0,500,Standard,Suburban,GA,Collision,No,Rain,Night,5893
3,54,M,Widowed,0,12996.0,Sports,5.0,1000,Basic,Urban,FL,Liability,Yes,Clear,Evening,8082
4,67,M,Married,3,19530.0,Sedan,2.0,250,Premium,Urban,CA,Collision,Yes,Clear,Night,14710
5,41,F,Single,4,33335.0,SUV,1.0,250,Premium,Rural,NY,Collision,Yes,Rain,Night,15156
6,41,M,Married,1,12340.0,Sedan,1.0,1000,Standard,Urban,FL,Collision,Yes,Clear,Afternoon,9097
7,68,M,Married,2,37229.0,Luxury,3.0,500,Standard,Suburban,PA,Liability,No,Rain,Afternoon,10122
8,56,F,Married,8,9688.0,SUV,2.0,500,Premium,Rural,MI,Comprehensive,No,Clear,Morning,6276
9,37,M,Married,0,19469.0,Truck,2.0,500,Basic,Suburban,TX,Comprehensive,Yes,Fog,Night,6414
10,53,F,Single,2,10866.0,SUV,1.0,500,Basic,Urban,OH,Comprehensive,Yes,Clear,Morning,5006
11,38,F,Married,13,5973.0,Sedan,3.0,250,Standard,Urban,FL,Collision,Yes,Snow,Night,11825
12,38,M,Married,3,26455.0,Sports,4.0,1000,Standard,Urban,CA,Liability,No,Clear,Afternoon,7345
13,48,F,Divorced,6,20152.0,SUV,6.0,500,Standard,Suburban,MI,Comprehensive,No,Clear,Night,4093
14,18,F,Single,8,10953.0,SUV,3.0,1000,Standard,Urban,IL,Liability,Yes,Clear,Afternoon,13192
15,19,M,Divorced,1,17012.0,SUV,5.0,1000,Standard,Urban,NY,Collision,Yes,Snow,Morning,13000
16,36,M,Single,1,27471.0,Sports,0.0,500,Basic,Suburban,FL,Collision,Yes,Rain,Morning,8127
17,29,F,Married,7,18323.0,Sedan,0.0,1000,Standard,Suburban,MI,Collision,Yes,Clear,Afternoon,8824
18,49,F,Divorced,6,,Sedan,0.0,250,Standard,Suburban,CA,Collision,Yes,Clear,Night,10050
19,31,F,Married,0,18047.0,Truck,7.0,250,Standard,Suburban,CA,Collision,Yes,Clear,Morning,10337
20,23,M,Single,1,16462.0,Sedan,3.0,500,Basic,Suburban,TX,Liability,Yes,Rain,Evening,11101
21,66,F,Single,2,16355.0,SUV,2.0,500,Standard,Urban,IL,Collision,No,Clear,Evening,6346
22,41,M,Married,8,16117.0,SUV,5.0,500,Standard,Rural,NY,Collision,Yes,Clear,Morning,9932
23,46,F,Married,2,15114.0,Sedan,0.0,1000,Premium,Suburban,PA,Collision,Yes,Rain,Morning,11157
24,23,F,Widowed,13,13244.0,SUV,0.0,500,Basic,Urban,CA,Liability,Yes,Clear,Evening,9353
25,36,M,Married,20,18217.0,Truck,1.0,1000,Premium,Urban,MI,Comprehensive,Yes,Rain,Evening,9177
26,46,F,Divorced,7,15995.0,SUV,1.0,1000,Standard,Rural,GA,Comprehensive,Yes,Rain,Morning,6250
27,27,F,Married,5,12889.0,Sedan,1.0,500,Premium,Suburban,CA,Collision,No,Clear,Evening,7518
28,50,F,Divorced,2,32305.0,Sedan,14.0,1000,Premium,Urban,CA,Comprehensive,Yes,Clear,Evening,8690
29,35,M,Single,0,,Luxury,3.0,1000,Premium,Suburban,TX,Comprehensive,Yes,Rain,Evening,9503
30,40,F,Divorced,4,22025.0,Sedan,3.0,1000,Standard,Suburban,TX,Liability,Yes,Clear,Evening,11279
31,35,F,Married,2,22770.0,Sedan,4.0,1000,Standard,Urban,TX,Collision,Yes,Fog,Morning,10511
32,72,M,Divorced,2,15579.0,Luxury,2.0,1000,Standard,Suburban,PA,Liability,Yes,Clear,Night,12958
33,44,M,Single,5,37553.0,Sports,15.0,500,Standard,Urban,FL,Collision,No,Clear,Night,6970
34,29,M,Married,3,52527.0,Truck,14.0,500,Standard,Rural,MI,Collision,Yes,Snow,Morning,13791
35,57,F,Married,6,20294.0,Sedan,5.0,1000,Standard,Urban,IL,Comprehensive,Yes,Clear,Morning,6011
36,26,F,Widowed,2,16971.0,Sedan,0.0,500,Basic,Rural,OH,Collision,No,Clear,Evening,4141
37,48,M,Married,0,26127.0,Sedan,8.0,1000,Standard,Urban,FL,Liability,Yes,Clear,Evening,11245
38,18,F,Married,3,23493.0,SUV,0.0,2000,Basic,Urban,NY,Collision,Yes,Clear,Evening,5629
39,25,M,Married,15,17152.0,Sedan,3.0,250,Standard,Suburban,OH,Collision,No,Clear,Afternoon,6462
40,47,F,Married,8,,Sedan,2.0,250,Premium,Suburban,MI,Collision,Yes,Snow,Afternoon,17671
41,56,M,Single,1,35209.0,Sedan,0.0,250,Premium,Urban,IL,Comprehensive,No,Clear,Morning,5379
42,47,M,Single,2,14869.0,Sports,9.0,1000,Standard,Rural,NY,Liability,Yes,Clear,Night,12317
43,43,M,Single,13,78512.0,Truck,12.0,250,Basic,Suburban,OH,Collision,Yes,Clear,Evening,8685
44,40,M,Married,0,10234.0,SUV,9.0,500,Basic,Urban,TX,Collision,Yes,Clear,Afternoon,6710
45,22,F,Divorced,1,14388.0,Sedan,0.0,250,Standard,Suburban,TX,Collision,No,Clear,Night,6608
46,34,F,Divorced,1,24759.0,Sports,1.0,500,Premium,Suburban,CA,Liability,No,Snow,Afternoon,11501
47,38,M,Single,4,67740.0,SUV,12.0,1000,Standard,Suburban,CA,Collision,No,Snow,Morning,7377
48,60,M,Single,2,16625.0,SUV,0.0,1000,Premium,Suburban,MI,Comprehensive,Yes,Clear,Evening,7402
49,50,M,Single,0,12927.0,Luxury,3.0,500,Basic,Urban,NC,Collision,No,Clear,Afternoon,3912
50,18,F,Single,4,28987.0,Sedan,2.0,2000,Standard,Suburban,MI,Comprehensive,Yes,Rain,Morning,7267
51,49,F,Single,0,19451.0,SUV,0.0,500,Premium,Suburban,FL,Comprehensive,No,Fog,Night,5922
52,39,M,Married,4,30718.0,Truck,8.0,1000,Standard,Suburban,OH,Liability,Yes,Rain,Night,13018
53,34,F,Married,3,21260.0,Sedan,0.0,2000,Premium,Rural,MI,Collision,No,Rain,Evening,6565
54,54,M,Married,3,14348.0,Sedan,3.0,500,Standard,Suburban,IL,Collision,No,Clear,Night,5048
55,60,F,Married,0,71284.0,Luxury,1.0,500,Standard,Rural,CA,Liability,No,Clear,Morning,9619
56,58,F,Married,5,5028.0,Sedan,2.0,500,Premium,Suburban,GA,Collision,Yes,Clear,Afternoon,12253
57,32,F,Married,2,54727.0,SUV,0.0,500,Standard,Urban,TX,Comprehensive,Yes,Clear,Evening,7746
58,40,F,Divorced,2,35123.0,Truck,3.0,1000,Standard,Urban,OH,Liability,Yes,Clear,Afternoon,11892
59,49,F,Married,4,15171.0,Sedan,17.0,1000,Standard,Suburban,IL,Liability,No,Clear,Morning,5098
60,59,F,Single,4,56174.0,SUV,7.0,250,Basic,Suburban,PA,Comprehensive,No,Rain,Night,4379
61,37,F,Single,0,11095.0,Sedan,4.0,1000,Standard,Rural,IL,Collision,Yes,Clear,Afternoon,8300
62,42,M,Single,0,36463.0,Sedan,5.0,500,Standard,Suburban,PA,Collision,Yes,Clear,Night,9904
63,28,M,Married,1,7775.0,Sports,7.0,500,Standard,Rural,IL,Collision,Yes,Clear,Afternoon,10205
64,27,M,Single,5,12419.0,Truck,2.0,1000,Standard,Urban,NY,Liability,Yes,Clear,Night,12747
65,57,F,Married,4,12404.0,Sedan,3.0,500,Standard,Rural,PA,Comprehensive,No,Clear,Evening,3384
66,65,M,Single,7,15133.0,Sedan,9.0,500,Premium,Suburban,IL,Comprehensive,Yes,Snow,Afternoon,11559
67,43,M,Married,6,22154.0,SUV,4.0,1000,Standard,Urban,TX,Liability,No,Clear,Evening,7153
68,60,M,Single,9,14574.0,Sedan,0.0,500,Standard,Urban,OH,Collision,No,Rain,Morning,6825
69,50,M,Married,2,7956.0,SUV,6.0,500,Premium,Rural,PA,Liability,Yes,Clear,Night,15297
70,35,F,Single,2,27770.0,Sedan,0.0,1000,Standard,Rural,NC,Collision,Yes,Clear,Morning,9178
71,50,F,Single,8,22572.0,Sports,7.0,500,Basic,Urban,CA,Liability,No,Clear,Night,6151
72,68,F,Divorced,1,27023.0,Sedan,6.0,1000,Premium,Urban,CA,Collision,No,Rain,Evening,8472
73,44,F,Married,3,24003.0,Sports,,1000,Premium,Rural,PA,Liability,Yes,Clear,Night,14795
74,68,F,Single,1,35493.0,SUV,0.0,250,Basic,Urban,PA,Collision,Yes,Clear,Evening,8325
75,18,M,Married,12,21210.0,Truck,14.0,250,Premium,Rural,NY,Collision,Yes,Clear,Morning,16998
76,57,M,Married,2,36543.0,Truck,3.0,1000,Standard,Urban,MI,Liability,Yes,Clear,Morning,12182
77,46,F,Married,1,14945.0,Sedan,6.0,1000,Basic,Urban,PA,Collision,No,Clear,Evening,3584
78,40,M,Married,5,15377.0,SUV,3.0,500,Standard,Urban,FL,Liability,Yes,Clear,Night,11486
79,46,M,Divorced,1,43827.0,SUV,1.0,500,Premium,Suburban,PA,Comprehensive,No,Clear,Evening,4927
80,18,F,Single,14,43383.0,SUV,1.0,1000,Standard,Rural,TX,Comprehensive,Yes,Rain,Night,8599
81,41,M,Married,2,29344.0,SUV,0.0,1000,Standard,Urban,GA,Comprehensive,Yes,Snow,Night,7842
82,50,M,Married,5,,Sedan,3.0,500,Basic,Suburban,PA,Comprehensive,Yes,Clear,Night,4299
83,67,M,Married,2,,Sedan,0.0,1000,Premium,Rural,NC,Comprehensive,Yes,Clear,Afternoon,8174
84,37,M,Divorced,8,42788.0,SUV,3.0,500,Basic,Rural,NC,Collision,No,Clear,Morning,4546
85,32,M,Divorced,11,41619.0,Sedan,3.0,1000,Basic,Urban,FL,Collision,Yes,Rain,Evening,8367
86,37,M,Married,7,21337.0,Luxury,2.0,1000,Premium,Rural,PA,Comprehensive,Yes,Clear,Afternoon,7664
87,58,F,Widowed,9,71036.0,SUV,0.0,2000,Premium,Urban,PA,Comprehensive,Yes,Rain,Evening,7800
88,49,F,Married,0,,SUV,2.0,2000,Standard,Suburban,NY,Liability,Yes,Clear,Morning,7717
89,37,M,Married,12,12662.0,Sedan,8.0,500,Basic,Suburban,NC,Liability,Yes,Rain,Night,9658
90,52,F,Widowed,4,19190.0,SUV,2.0,500,Standard,Suburban,PA,Collision,No,Clear,Morning,5221
91,46,M,Single,10,22086.0,Sedan,1.0,500,Premium,Urban,GA,Liability,Yes,Rain,Afternoon,17308
92,59,M,Married,5,22998.0,SUV,3.0,1000,Standard,Suburban,TX,Collision,Yes,Snow,Evening,12007
93,34,M,Married,1,41150.0,Sedan,3.0,250,Basic,Suburban,GA,Comprehensive,No,Fog,Morning,3383
94,40,F,Divorced,4,13654.0,SUV,0.0,500,Premium,Urban,FL,Collision,No,Clear,Afternoon,6879
95,39,M,Divorced,0,11319.0,SUV,1.0,2000,Premium,Urban,FL,Collision,Yes,Clear,Morning,7465
96,23,F,Divorced,5,29767.0,SUV,2.0,500,Standard,Urban,TX,Collision,No,Snow,Afternoon,8126
97,49,F,Divorced,2,17094.0,Sedan,1.0,500,Premium,Rural,NC,Collision,No,Clear,Afternoon,7043
98,48,F,Married,0,73995.0,Sedan,1.0,2000,Basic,Rural,NY,Liability,Yes,Clear,Morning,6544
99,45,F,Single,19,35299.0,Sedan,2.0,500,Standard,Urban,OH,Comprehensive,No,Clear,Evening,3458
100,41,F,Single,11,16937.0,SUV,1.0,500,Basic,Suburban,NC,Collision,Yes,Snow,Morning,8423
101,23,M,Married,11,40393.0,Sedan,1.0,2000,Premium,Suburban,CA,Comprehensive,No,Fog,Night,5166
102,38,M,Married,7,31735.0,Sedan,5.0,500,Premium,Rural,GA,Collision,Yes,Fog,Morning,14820
103,39,F,Married,5,30237.0,Sedan,2.0,500,Premium,Urban,FL,Collision,No,Clear,Evening,7686
104,32,F,Married,5,20720.0,Truck,8.0,1000,Standard,Suburban,CA,Liability,No,Snow,Afternoon,7211
105,42,M,Divorced,0,27179.0,SUV,11.0,1000,Standard,Urban,TX,Collision,No,Rain,Afternoon,7060
106,51,M,Married,11,7696.0,Luxury,10.0,250,Premium,Suburban,TX,Liability,Yes,Clear,Night,16286
